anio,provincia,departamento,sector,ambito,nivel,matricula_inicial,promovidos,no_promovidos,salidos_sin_pase,ultimo_anio_inscripto,tasa_repitencia,tasa_abandono,tasa_promocion_ef
2024,Buenos Aires,25 DE MAYO,Estatal,Rural,Primaria,586,569,6,1,576,1.02,0.17,98.78
2024,Buenos Aires,25 DE MAYO,Estatal,Rural,Secundaria,672,542,47,12,662,6.99,1.79,81.87
2024,Buenos Aires,25 DE MAYO,Estatal,Urbano,Primaria,1931,1839,43,1,1930,2.23,0.05,95.28
2024,Buenos Aires,25 DE MAYO,Estatal,Urbano,Secundaria,2146,1322,380,31,2086,17.71,1.44,63.37
2024,Buenos Aires,25 DE MAYO,Privado,Urbano,Primaria,847,794,17,0,840,2.01,0.0,94.52
2024,Buenos Aires,25 DE MAYO,Privado,Urbano,Secundaria,739,492,46,0,735,6.22,0.0,66.94
2024,Buenos Aires,9 DE JULIO,Estatal,Rural,Primaria,711,678,8,2,703,1.13,0.28,96.44
2024,Buenos Aires,9 DE JULIO,Estatal,Rural,Secundaria,615,434,42,17,583,6.83,2.76,74.44
2024,Buenos Aires,9 DE JULIO,Estatal,Urbano,Primaria,3115,3046,23,0,3111,0.74,0.0,97.91
2024,Buenos Aires,9 DE JULIO,Estatal,Urbano,Secundaria,3014,1734,329,73,2923,10.92,2.42,59.32
2024,Buenos Aires,9 DE JULIO,Privado,Urbano,Primaria,971,956,1,1,967,0.1,0.1,98.86
2024,Buenos Aires,9 DE JULIO,Privado,Urbano,Secundaria,856,716,34,0,852,3.97,0.0,84.04
2024,Buenos Aires,ADOLFO ALSINA,Estatal,Rural,Primaria,279,267,5,0,274,1.79,0.0,97.45
2024,Buenos Aires,ADOLFO ALSINA,Estatal,Rural,Secundaria,201,169,13,3,196,6.47,1.49,86.22
2024,Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,Primaria,936,878,18,0,941,1.92,0.0,93.3
2024,Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,Secundaria,1017,619,121,13,977,11.9,1.28,63.36
2024,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,Primaria,270,252,3,0,257,1.11,0.0,98.05
2024,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,Secundaria,256,202,22,1,239,8.59,0.39,84.52
2024,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,Primaria,641,634,1,1,654,0.16,0.16,96.94
2024,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,Secundaria,326,208,45,17,315,13.8,5.21,66.03
2024,Buenos Aires,ALBERTI,Estatal,Rural,Primaria,222,213,2,0,215,0.9,0.0,99.07
2024,Buenos Aires,ALBERTI,Estatal,Rural,Secundaria,209,155,19,2,209,9.09,0.96,74.16
2024,Buenos Aires,ALBERTI,Estatal,Urbano,Primaria,598,575,2,0,596,0.33,0.0,96.48
2024,Buenos Aires,ALBERTI,Estatal,Urbano,Secundaria,659,347,128,16,621,19.42,2.43,55.88
2024,Buenos Aires,ALMIRANTE BROWN,Estatal,Urbano,Primaria,40235,38163,1304,6,40130,3.24,0.01,95.1
2024,Buenos Aires,ALMIRANTE BROWN,Estatal,Urbano,Secundaria,37635,21181,6008,140,37552,15.96,0.37,56.4
2024,Buenos Aires,ALMIRANTE BROWN,Privado,Urbano,Primaria,20165,19671,86,5,20059,0.43,0.02,98.07
2024,Buenos Aires,ALMIRANTE BROWN,Privado,Urbano,Secundaria,18078,14181,635,7,18046,3.51,0.04,78.58
2024,Buenos Aires,ARRECIFES,Estatal,Rural,Primaria,236,233,6,0,239,2.54,0.0,97.49
2024,Buenos Aires,ARRECIFES,Estatal,Rural,Secundaria,181,71,40,0,181,22.1,0.0,39.23
2024,Buenos Aires,ARRECIFES,Estatal,Urbano,Primaria,2366,2213,40,0,2360,1.69,0.0,93.77
2024,Buenos Aires,ARRECIFES,Estatal,Urbano,Secundaria,2610,1274,703,54,2515,26.93,2.07,50.66
2024,Buenos Aires,AVELLANEDA,Estatal,Urbano,Primaria,22782,20791,1105,37,22519,4.85,0.16,92.33
2024,Buenos Aires,AVELLANEDA,Estatal,Urbano,Secundaria,23422,11871,4998,87,23085,21.34,0.37,51.42
2024,Buenos Aires,AVELLANEDA,Privado,Urbano,Primaria,13295,12943,83,6,13283,0.62,0.05,97.44
2024,Buenos Aires,AVELLANEDA,Privado,Urbano,Secundaria,11797,7917,636,6,11742,5.39,0.05,67.42
2024,Buenos Aires,AYACUCHO,Estatal,Rural,Primaria,356,349,7,0,368,1.97,0.0,94.84
2024,Buenos Aires,AYACUCHO,Estatal,Rural,Secundaria,244,191,17,4,232,6.97,1.64,82.33
2024,Buenos Aires,AYACUCHO,Estatal,Urbano,Primaria,1563,1473,48,10,1536,3.07,0.64,95.9
2024,Buenos Aires,AYACUCHO,Estatal,Urbano,Secundaria,1814,1344,144,0,1776,7.94,0.0,75.68
2024,Buenos Aires,AZUL,Estatal,Rural,Primaria,190,200,3,1,204,1.58,0.53,98.04
2024,Buenos Aires,AZUL,Estatal,Rural,Secundaria,178,162,10,1,180,5.62,0.56,90.0
2024,Buenos Aires,AZUL,Estatal,Urbano,Primaria,4028,3712,125,0,3988,3.1,0.0,93.08
2024,Buenos Aires,AZUL,Estatal,Urbano,Secundaria,4551,2919,862,25,4524,18.94,0.55,64.52
2024,Buenos Aires,AZUL,Privado,Urbano,Primaria,2209,2153,14,4,2195,0.63,0.18,98.09
2024,Buenos Aires,AZUL,Privado,Urbano,Secundaria,2094,1440,123,0,2063,5.87,0.0,69.8
2024,Buenos Aires,BAHIA BLANCA,Estatal,Rural,Primaria,175,175,5,0,183,2.86,0.0,95.63
2024,Buenos Aires,BAHIA BLANCA,Estatal,Urbano,Primaria,20715,19391,644,1,20671,3.11,0.0,93.81
2024,Buenos Aires,BAHIA BLANCA,Estatal,Urbano,Secundaria,20628,12149,3240,135,20238,15.71,0.65,60.03
